N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
5,0.002,0.2,0,30158,8786,0.03507740003988147
5,0.002,0.2,1,30158,8786,0.01896640006452799
5,0.002,0.2,2,30158,8786,0.03253560001030564
5,0.002,0.2,3,30158,8786,0.03796870005317032
5,0.002,0.2,4,30158,8786,0.01916739996522665
5,0.002,0.25,0,30104,8801,0.02951189992018044
5,0.002,0.25,1,30104,8801,0.043233799980953336
5,0.002,0.25,2,30104,8801,0.04342369991354644
5,0.002,0.25,3,30104,8801,0.041913499822840095
5,0.002,0.25,4,30104,8801,0.03598329983651638
5,0.002,0.29,0,29235,8782,0.03386650001630187
5,0.002,0.29,1,29235,8782,0.024451600154861808
5,0.002,0.29,2,29235,8782,0.04205199982970953
5,0.002,0.29,3,29235,8782,0.04176619998179376
5,0.002,0.29,4,29235,8782,0.04197939997538924
5,0.002,0.33,0,29171,8616,0.021929699927568436
5,0.002,0.33,1,29171,8616,0.020640100119635463
5,0.002,0.33,2,29171,8616,0.0390818000305444
5,0.002,0.33,3,29171,8616,0.04443220002576709
5,0.002,0.33,4,29171,8616,0.026601199992001057
5,0.003,0.2,0,30158,8786,0.03765049995854497
5,0.003,0.2,1,30158,8786,0.019443599972873926
5,0.003,0.2,2,30158,8786,0.03095220006071031
5,0.003,0.2,3,30158,8786,0.03353950008749962
5,0.003,0.2,4,30158,8786,0.032914199866354465
5,0.003,0.25,0,30104,8801,0.04423590004444122
5,0.003,0.25,1,30104,8801,0.026956700021401048
5,0.003,0.25,2,30104,8801,0.02528199995867908
5,0.003,0.25,3,30104,8801,0.030901199905201793
5,0.003,0.25,4,30104,8801,0.022081400034949183
5,0.003,0.29,0,29235,8782,0.04474070016294718
5,0.003,0.29,1,29235,8782,0.041961400071159005
5,0.003,0.29,2,29235,8782,0.0416512000374496
5,0.003,0.29,3,29235,8782,0.04032139992341399
5,0.003,0.29,4,29235,8782,0.02522880001924932
5,0.003,0.33,0,29171,8616,0.033658700063824654
5,0.003,0.33,1,29171,8616,0.03728040005080402
5,0.003,0.33,2,29171,8616,0.04308149986900389
5,0.003,0.33,3,29171,8616,0.03996640001423657
5,0.003,0.33,4,29171,8616,0.021416799863800406
5,0.005,0.2,0,30158,8786,0.03587919985875487
5,0.005,0.2,1,30158,8786,0.03938259999267757
5,0.005,0.2,2,30158,8786,0.026732400059700012
