N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
8,0.003,0.31,0,31466,8754,0.021207300014793873
8,0.003,0.31,1,31466,8754,0.019001999869942665
8,0.003,0.31,2,31466,8754,0.009452300146222115
8,0.003,0.31,3,31466,8754,0.019036700017750263
8,0.003,0.31,4,31466,8754,0.010651699965819716
8,0.003,0.31,5,31466,8754,0.012069599935784936
8,0.003,0.31,6,31466,8754,0.018860199954360723
8,0.003,0.31,7,31466,8754,0.013389799976721406
8,0.003,0.31,8,31466,8754,0.010280300164595246
8,0.003,0.31,9,31466,8754,0.010523600038141012
8,0.003,0.32,0,31466,8754,0.03035939997062087
8,0.003,0.32,1,31466,8754,0.024328500032424927
8,0.003,0.32,2,31466,8754,0.022612799890339375
8,0.003,0.32,3,31466,8754,0.01018950017169118
8,0.003,0.32,4,31466,8754,0.018462499836459756
8,0.003,0.32,5,31466,8754,0.011016499949619174
8,0.003,0.32,6,31466,8754,0.016195599921047688
8,0.003,0.32,7,31466,8754,0.02832049992866814
8,0.003,0.32,8,31466,8754,0.02027470013126731
8,0.003,0.32,9,31466,8754,0.02674470003694296
8,0.003,0.33,0,31466,8754,0.024477300001308322
8,0.003,0.33,1,31466,8754,0.014818500028923154
8,0.003,0.33,2,31466,8754,0.01937069999985397
8,0.003,0.33,3,31466,8754,0.014848600141704082
8,0.003,0.33,4,31466,8754,0.012369700009003282
8,0.003,0.33,5,31466,8754,0.017569900024682283
8,0.003,0.33,6,31466,8754,0.020673400023952127
8,0.003,0.33,7,31466,8754,0.020527899963781238
8,0.003,0.33,8,31466,8754,0.026585500221699476
8,0.003,0.33,9,31466,8754,0.023200200172141194
8,0.003,0.34,0,29999,8754,0.024129300145432353
8,0.003,0.34,1,29999,8754,0.02049820008687675
8,0.003,0.34,2,29999,8754,0.025863999966531992
8,0.003,0.34,3,29999,8754,0.019002499990165234
8,0.003,0.34,4,29999,8754,0.013989500002935529
8,0.003,0.34,5,29999,8754,0.02124770008958876
8,0.003,0.34,6,29999,8754,0.010281899943947792
8,0.003,0.34,7,29999,8754,0.02078430005349219
8,0.003,0.34,8,29999,8754,0.01628109999001026
8,0.003,0.34,9,29999,8754,0.009904899867251515
8,0.003,0.35,0,29999,8754,0.015657899901270866
8,0.003,0.35,1,29999,8754,0.018432300072163343
8,0.003,0.35,2,29999,8754,0.030194200109690428
8,0.003,0.35,3,29999,8754,0.02385700005106628
